instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V50_9.txt,10,100,50,backtracking,320,0.000160,1407
inst_N10_W100_V50_9.txt,10,100,50,branchBound,309,0.000003,N/A
inst_N10_W150_V100_0.txt,10,150,100,dynamicProg,353,0.018982,N/A
inst_N10_W150_V100_0.txt,10,150,100,backtracking,353,0.000166,1491
inst_N10_W150_V100_0.txt,10,150,100,branchBound,353,0.000008,N/A
inst_N10_W150_V100_1.txt,10,150,100,dynamicProg,378,0.018818,N/A
inst_N10_W150_V100_1.txt,10,150,100,backtracking,378,0.000176,1433
inst_N10_W150_V100_1.txt,10,150,100,branchBound,378,0.000007,N/A
inst_N10_W150_V100_2.txt,10,150,100,dynamicProg,389,0.017376,N/A
inst_N10_W150_V100_2.txt,10,150,100,backtracking,389,0.000173,1685
inst_N10_W150_V100_2.txt,10,150,100,branchBound,389,0.000008,N/A
inst_N10_W150_V100_3.txt,10,150,100,dynamicProg,472,0.020769,N/A
inst_N10_W150_V100_3.txt,10,150,100,backtracking,472,0.000184,1651
inst_N10_W150_V100_3.txt,10,150,100,branchBound,472,0.000003,N/A
inst_N10_W150_V100_4.txt,10,150,100,dynamicProg,358,0.016769,N/A
inst_N10_W150_V100_4.txt,10,150,100,backtracking,358,0.000222,1599
inst_N10_W150_V100_4.txt,10,150,100,branchBound,358,0.000016,N/A
inst_N10_W150_V100_5.txt,10,150,100,dynamicProg,349,0.014859,N/A
inst_N10_W150_V100_5.txt,10,150,100,backtracking,349,0.000244,1219
inst_N10_W150_V100_5.txt,10,150,100,branchBound,349,0.000011,N/A
inst_N10_W150_V100_6.txt,10,150,100,dynamicProg,223,0.025798,N/A
inst_N10_W150_V100_6.txt,10,150,100,backtracking,223,0.000158,1263
inst_N10_W150_V100_6.txt,10,150,100,branchBound,223,0.000017,N/A
inst_N10_W150_V100_7.txt,10,150,100,dynamicProg,428,0.015175,N/A
inst_N10_W150_V100_7.txt,10,150,100,backtracking,428,0.000153,1459
inst_N10_W150_V100_7.txt,10,150,100,branchBound,428,0.000003,N/A
inst_N10_W150_V100_8.txt,10,150,100,dynamicProg,392,0.019324,N/A
inst_N10_W150_V100_8.txt,10,150,100,backtracking,392,0.000229,1703
inst_N10_W150_V100_8.txt,10,150,100,branchBound,392,0.000007,N/A
inst_N10_W150_V100_9.txt,10,150,100,dynamicProg,378,0.020295,N/A
inst_N10_W150_V100_9.txt,10,150,100,backtracking,378,0.000240,1659
inst_N10_W150_V100_9.txt,10,150,100,branchBound,376,0.000005,N/A
inst_N10_W150_V150_0.txt,10,150,150,dynamicProg,418,0.019222,N/A
inst_N10_W150_V150_0.txt,10,150,150,backtracking,418,0.000151,1509
inst_N10_W150_V150_0.txt,10,150,150,branchBound,418,0.000010,N/A
inst_N10_W150_V150_1.txt,10,150,150,dynamicProg,356,0.020331,N/A
inst_N10_W150_V150_1.txt,10,150,150,backtracking,356,0.000171,1627
inst_N10_W150_V150_1.txt,10,150,150,branchBound,349,0.000017,N/A
inst_N10_W150_V150_2.txt,10,150,150,dynamicProg,408,0.020143,N/A
inst_N10_W150_V150_2.txt,10,150,150,backtracking,408,0.000176,1457
inst_N10_W150_V150_2.txt,10,150,150,branchBound,408,0.000010,N/A
inst_N10_W150_V150_3.txt,10,150,150,dynamicProg,487,0.025870,N/A
inst_N10_W150_V150_3.txt,10,150,150,backtracking,487,0.000182,1751
inst_N10_W150_V150_3.txt,10,150,150,branchBound,473,0.000003,N/A
inst_N10_W150_V150_4.txt,10,150,150,dynamicProg,580,0.024575,N/A
inst_N10_W150_V150_4.txt,10,150,150,backtracking,580,0.000203,1921
inst_N10_W150_V150_4.txt,10,150,150,branchBound,580,0.000015,N/A
inst_N10_W150_V150_5.txt,10,150,150,dynamicProg,322,0.021236,N/A
inst_N10_W150_V150_5.txt,10,150,150,backtracking,322,0.000218,1615
inst_N10_W150_V150_5.txt,10,150,150,branchBound,322,0.000012,N/A
inst_N10_W150_V150_6.txt,10,150,150,dynamicProg,284,0.021092,N/A
inst_N10_W150_V150_6.txt,10,150,150,backtracking,284,0.000128,1105
inst_N10_W150_V150_6.txt,10,150,150,branchBound,284,0.000008,N/A
inst_N10_W150_V150_7.txt,10,150,150,dynamicProg,338,0.019265,N/A
